""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"1"	0	1.85148211698383	1	0.981	0	"0"	"Apod"
"2"	0	1.82678009129989	0.813	0.586	0	"0"	"Inhba"
"3"	0	1.75654897467888	1	0.88	0	"0"	"Dcn"
"4"	0	1.6277207934885	0.985	0.778	0	"0"	"Lum"
"5"	0	1.56402909430382	0.931	0.658	0	"0"	"Ccl11"
"6"	0	1.52113052481323	0.908	0.588	0	"0"	"Gfpt2"
"7"	0	1.5052732927284	0.629	0.525	0	"0"	"Myoc"
"8"	0	1.50042870523634	0.974	0.748	0	"0"	"Fn1"
"9"	0	1.47451737066654	0.686	0.316	0	"0"	"Cst6"
"10"	0	1.432904349783	0.93	0.631	0	"0"	"Aebp1"
"11"	0	1.39155000965974	0.732	0.633	0	"0"	"Ccl2"
"12"	0	1.37156308651163	0.931	0.62	0	"0"	"Mmp2"
"13"	0	1.33977089068946	0.928	0.705	0	"0"	"Col3a1"
"14"	0	1.32217852567009	0.84	0.644	0	"0"	"Il33"
"15"	0	1.32096615688374	0.999	0.876	0	"0"	"Gsn"
"16"	0	1.30563864794583	0.619	0.499	0	"0"	"Tfpi2"
"17"	0	1.30459677535307	0.965	0.627	0	"0"	"Gpc3"
"18"	0	1.28669287468764	0.808	0.573	0	"0"	"Gem"
"19"	0	1.26593460645819	0.757	0.507	0	"0"	"Gng11"
"20"	0	1.24687437500789	0.967	0.721	0	"0"	"Tgfbi"
"21"	0	1.24575944925196	0.962	0.746	0	"0"	"Mgp"
"22"	0	1.24565093830297	0.866	0.54	0	"0"	"Vcan"
"23"	0	1.24254759183443	0.839	0.523	0	"0"	"Cd34"
"24"	0	1.23713545305178	0.848	0.443	0	"0"	"Serpinf1"
"25"	0	1.22439992993245	0.948	0.655	0	"0"	"Cp"
"26"	0	1.14933131753045	0.73	0.513	0	"0"	"Cdkn2a"
"27"	0	1.14188289691706	0.902	0.708	0	"0"	"Col1a1"
"28"	0	1.13090617835392	0.826	0.553	0	"0"	"Pcolce"
"29"	0	1.1078482599705	0.654	0.594	0	"0"	"Cxcl1"
"30"	0	1.10144076803359	0.549	0.52	0	"0"	"Ifi203"
"31"	0	1.08391172327732	0.684	0.411	0	"0"	"Abi3bp"
"32"	0	1.08209727442463	0.715	0.453	0	"0"	"Enpp2"
"33"	0	1.07925949723667	0.775	0.561	0	"0"	"Tm4sf1"
"34"	0	1.0719678633446	0.801	0.625	0	"0"	"Ptx3"
"35"	0	1.04254681375424	0.809	0.558	0	"0"	"Rhoj"
"36"	0	1.0358806626409	0.797	0.551	0	"0"	"Ecm1"
"37"	0	1.02465164552612	0.683	0.425	0	"0"	"Cpxm1"
"38"	0	1.02083765330295	0.881	0.62	0	"0"	"Ugdh"
"39"	0	1.01016370156652	0.845	0.61	0	"0"	"Col8a1"
"40"	0	1.00890472446582	0.738	0.533	0	"0"	"Rdh10"
"41"	0	1.00775697615307	0.768	0.474	0	"0"	"Lama2"
"42"	0	1.0065593900767	0.868	0.576	0	"0"	"Itm2a"
"43"	0	0.992037605861116	0.711	0.443	0	"0"	"Nupr1"
"44"	0	0.989055248878761	0.734	0.583	0	"0"	"Tnfaip6"
"45"	0	0.986006590856286	0.509	0.381	0	"0"	"Plagl1"
"46"	0	0.985135586204207	0.73	0.596	0	"0"	"Timp1"
"47"	0	0.984988548512291	0.929	0.672	0	"0"	"Bgn"
"48"	0	0.981449949689862	0.887	0.55	0	"0"	"Lrp1"
"49"	0	0.980735000551492	0.764	0.576	0	"0"	"Thbs4"
"50"	4.99966550026299e-244	1.08063156878773	0.415	0.413	9.99933100052597e-241	"0"	"Gcg"
"51"	0	2.684310461226	0.97	0.532	0	"1"	"C1qb"
"52"	0	2.5600639647321	0.961	0.548	0	"1"	"C1qa"
"53"	0	2.36074708967309	0.962	0.577	0	"1"	"Cd14"
"54"	0	2.35761548231178	0.928	0.535	0	"1"	"Lyz2"
"55"	0	2.15919932767232	0.913	0.526	0	"1"	"C1qc"
"56"	0	2.09455876196329	0.821	0.489	0	"1"	"Ms4a7"
"57"	0	2.07382638567894	0.973	0.599	0	"1"	"Fcer1g"
"58"	0	2.01797787082126	0.644	0.633	0	"1"	"Cxcl2"
"59"	0	1.94299056243301	0.804	0.471	0	"1"	"C3ar1"
"60"	0	1.94271472742662	0.996	0.879	0	"1"	"Apoe"
"61"	0	1.90500154695457	0.964	0.607	0	"1"	"Ctss"
"62"	0	1.75074320982068	0.624	0.459	0	"1"	"Mafb"
"63"	0	1.74875101562042	0.504	0.439	0	"1"	"Pf4"
"64"	0	1.70017611099534	0.964	0.809	0	"1"	"Cd74"
"65"	0	1.6959582477656	0.773	0.482	0	"1"	"Csf1r"
"66"	0	1.68465656583848	0.695	0.463	0	"1"	"Slamf7"
"67"	0	1.67571048079804	0.925	0.575	0	"1"	"Tyrobp"
"68"	0	1.65754243987563	0.863	0.56	0	"1"	"Plek"
"69"	0	1.57363541758214	0.696	0.433	0	"1"	"Cd68"
"70"	0	1.56817469663077	0.872	0.563	0	"1"	"Laptm5"
"71"	0	1.54930189362742	0.772	0.521	0	"1"	"Mpeg1"
"72"	0	1.54396659785551	0.793	0.513	0	"1"	"Spi1"
"73"	0	1.49574699756429	0.596	0.452	0	"1"	"Mrc1"
"74"	0	1.48285977244336	0.934	0.76	0	"1"	"H2-Aa"
"75"	0	1.4828270540132	0.814	0.612	0	"1"	"Lgals3"
"76"	0	1.48242592044529	0.822	0.557	0	"1"	"Cxcl16"
"77"	0	1.47955979021101	0.915	0.739	0	"1"	"H2-Eb1"
"78"	0	1.47815162777863	0.766	0.53	0	"1"	"Slc15a3"
"79"	0	1.47104061756729	0.751	0.457	0	"1"	"Ninj1"
"80"	0	1.46958957826278	0.648	0.456	0	"1"	"Slfn2"
"81"	0	1.44157946807526	0.928	0.778	0	"1"	"H2-Ab1"
"82"	0	1.42092080053945	0.644	0.465	0	"1"	"C5ar1"
"83"	0	1.40144824703872	0.66	0.493	0	"1"	"Ccr5"
"84"	0	1.39867007119693	0.654	0.457	0	"1"	"Adgre1"
"85"	0	1.3930278413808	0.647	0.484	0	"1"	"Stap1"
"86"	0	1.34446641161354	0.927	0.708	0	"1"	"Zeb2"
"87"	0	1.3301467424568	0.786	0.566	0	"1"	"Cd83"
"88"	0	1.32317689241843	0.528	0.429	0	"1"	"Tlr2"
"89"	0	1.31584744082895	0.652	0.487	0	"1"	"Cybb"
"90"	0	1.29610173802889	0.656	0.513	0	"1"	"Bcl2a1b"
"91"	0	1.27945047690204	0.931	0.826	0	"1"	"Prdx1"
"92"	0	1.27502972362806	0.822	0.678	0	"1"	"Ly6e"
"93"	0	1.26564032509756	0.53	0.405	0	"1"	"Trem2"
"94"	0	1.26272238710791	0.621	0.501	0	"1"	"Cd86"
"95"	0	1.26138933710717	0.6	0.498	0	"1"	"Dab2"
"96"	0	1.24581349416279	0.535	0.445	0	"1"	"AI607873"
"97"	0	1.24015883239607	0.55	0.427	0	"1"	"Fyb"
